index,error
1093,0.031672
1094,0.026672
1095,0.021672
1096,0.033395
1097,0.028395
1098,0.023395
1099,0.018395
1100,0.030117
1101,0.025117
1102,0.020117
1103,0.015117
1104,0.026839
1105,0.021839
1106,0.01684
1107,0.028562
1108,0.023562
1109,0.035284
1110,0.030284
1111,0.025284
1112,0.020284
1113,0.032007
1114,0.027007
1115,0.022007
1116,0.017007
1117,0.028729
1118,0.023729
1119,0.018729
1120,0.030452
1121,0.025452
1122,0.037174
1123,0.032174
1124,0.027174
1125,0.022174
1126,0.033896
1127,0.028896
1128,0.023896
1129,0.018896
1130,0.030619
1131,0.025619
1132,0.020619
1133,0.032341
1134,0.027341
1135,0.022341
1136,0.034064
1137,0.029064
1138,0.024064
1139,0.019064
1140,0.014064
1141,0.009064
1142,0.004064
1143,-0.000936
1144,-0.005936
1145,-0.010936
1146,-0.015936
1147,-0.020936
1148,-0.025936
1149,-0.030936
1150,-0.035936
1151,-0.040936
1152,-0.045936
1153,-0.050936
1154,-0.055936
1155,-0.060936
1156,-0.065936
1157,-0.070936
1158,-0.075936
1159,-0.080936
1160,-0.085936
1161,-0.090936
1162,-0.095936
1163,-0.100936
1164,-0.105936
1165,-0.110936
1166,-0.115936
1167,-0.120936
1168,-0.125936
1169,-0.130936
1170,-0.135936
1171,-0.140936
1172,-0.145936
1173,-0.150936
1174,-0.155936
1175,-0.160936
1176,-0.165936
1177,-0.170936
1178,-0.175936
1179,-0.180936
1180,-0.185936
1181,-0.190936
1182,-0.195936
1183,-0.200936
1184,-0.205936
1185,-0.210936
1186,-0.215936
1187,-0.220936
1188,-0.225936
